id,decibels,createdAt,updatedAt
7cf97e06-1f14-42ea-95f6-ffac6b5f9311,626.0,2024-06-14T18:47:06.010611Z,2024-06-14T18:47:06.010611Z
0594e0d2-455e-4b81-9ea7-585c18219c0a,626.0,2024-06-14T18:47:05.912604Z,2024-06-14T18:47:05.912604Z
2463ab81-9453-4f6d-bdf5-f3e8dd761304,626.0,2024-06-14T18:47:05.852334Z,2024-06-14T18:47:05.852334Z
2a4a8ca5-7cce-4782-abb9-80904505a800,626.0,2024-06-14T18:47:05.792378Z,2024-06-14T18:47:05.792378Z
b584bf6c-0d62-46e0-b380-e88244c1092c,617.0,2024-06-14T18:47:05.732365Z,2024-06-14T18:47:05.732365Z
d2d17234-4c0d-4fce-a912-84dc9b3c93d9,617.0,2024-06-14T18:47:05.679718Z,2024-06-14T18:47:05.679718Z
144af424-7506-4191-ac21-a333fe742c5c,617.0,2024-06-14T18:47:05.601934Z,2024-06-14T18:47:05.601934Z
634314e7-2cd9-43c1-bff4-c84f546a6390,617.0,2024-06-14T18:47:05.549457Z,2024-06-14T18:47:05.549457Z
4b8045c2-1c55-4b7c-921d-94c04fbcf2c1,617.0,2024-06-14T18:47:05.471991Z,2024-06-14T18:47:05.471991Z
a7812c19-c6f4-4110-acf8-73b357cb4545,617.0,2024-06-14T18:47:05.419161Z,2024-06-14T18:47:05.419161Z
705605a6-9b3a-4022-9dd3-a8909463e40d,617.0,2024-06-14T18:47:05.311903Z,2024-06-14T18:47:05.311903Z
f7ca8ac4-cf8c-44fd-b57d-03abd9159723,617.0,2024-06-14T18:47:05.251810Z,2024-06-14T18:47:05.251810Z
e50afe55-6984-47b7-8312-4809a4b9ad8f,620.0,2024-06-14T18:47:05.192588Z,2024-06-14T18:47:05.192588Z
b566b949-f88c-407f-8f65-3982b4de9521,620.0,2024-06-14T18:47:05.128952Z,2024-06-14T18:47:05.128952Z
a963e592-fa36-42ab-ba86-a0520d408afe,620.0,2024-06-14T18:47:05.054737Z,2024-06-14T18:47:05.054737Z
ace9cd66-66ab-45a8-8557-90c7330a09a4,620.0,2024-06-14T18:47:04.999822Z,2024-06-14T18:47:04.999822Z
0fb5a957-eff5-43d5-b3a2-da4b2e8f6d8c,620.0,2024-06-14T18:47:04.922209Z,2024-06-14T18:47:04.922209Z
84be381f-d8c2-4c3b-85d4-18d7075c2d96,620.0,2024-06-14T18:47:04.868299Z,2024-06-14T18:47:04.868299Z
d040980e-88b4-420c-ab17-7bb76d400afa,620.0,2024-06-14T18:47:04.811261Z,2024-06-14T18:47:04.811261Z
eed3480b-f052-4446-9936-1586d23fa298,620.0,2024-06-14T18:47:04.751070Z,2024-06-14T18:47:04.751070Z
4342ecd6-74db-4777-9063-23fd1a496e5c,620.0,2024-06-14T18:47:04.691028Z,2024-06-14T18:47:04.691028Z
d92dd931-60ad-4a19-a7b5-b039828179cd,623.0,2024-06-14T18:47:04.630898Z,2024-06-14T18:47:04.630898Z
80a3fc47-5228-490d-9c17-990816a7b6ad,623.0,2024-06-14T18:47:04.577167Z,2024-06-14T18:47:04.577167Z
9e45eb3d-07c4-445b-9863-4c3367090092,623.0,2024-06-14T18:47:04.500652Z,2024-06-14T18:47:04.500652Z
ac06186c-2317-4e1b-86db-be098772fadc,623.0,2024-06-14T18:47:04.448104Z,2024-06-14T18:47:04.448104Z
ee372ef0-95b7-46a3-ac4f-994c3e0ff97c,623.0,2024-06-14T18:47:04.370274Z,2024-06-14T18:47:04.370274Z
aef608b6-f63a-4157-8345-b425e2562912,623.0,2024-06-14T18:47:04.317747Z,2024-06-14T18:47:04.317747Z
fa5e9bb9-3f66-4640-811d-e1c0ec705258,623.0,2024-06-14T18:47:04.249983Z,2024-06-14T18:47:04.249983Z
4af141b3-7fd8-4e92-b35a-901f329d1110,623.0,2024-06-14T18:47:04.189975Z,2024-06-14T18:47:04.189975Z
b367e8fb-4088-407e-b577-d69d3c1d8bd4,631.0,2024-06-14T18:47:04.136607Z,2024-06-14T18:47:04.136607Z
73d16542-2fe1-481b-82ba-c446b0b135ff,631.0,2024-06-14T18:47:04.026670Z,2024-06-14T18:47:04.026670Z
183f82eb-cf96-4404-b99d-9d13a028a27c,631.0,2024-06-14T18:47:03.950126Z,2024-06-14T18:47:03.950126Z
cf64655e-bfb7-4031-b5cf-b272513fb20d,631.0,2024-06-14T18:47:03.897610Z,2024-06-14T18:47:03.897610Z
3e450706-8e02-4817-b4c1-e77486909bc8,631.0,2024-06-14T18:47:03.819836Z,2024-06-14T18:47:03.819836Z
1531c194-f0b7-4d90-9bc1-6dc77ce438dc,631.0,2024-06-14T18:47:03.767272Z,2024-06-14T18:47:03.767272Z
175a8fae-d41d-4539-9f21-934ccccfe9a3,631.0,2024-06-14T18:47:03.709668Z,2024-06-14T18:47:03.709668Z
ae39d58e-7041-47d8-a8f8-1d81e6d2af59,631.0,2024-06-14T18:47:03.649311Z,2024-06-14T18:47:03.649311Z
78431c74-550c-4104-aebb-5896c8a11fe7,631.0,2024-06-14T18:47:03.589200Z,2024-06-14T18:47:03.589200Z
965e1989-b64a-4505-b416-a6091444ad40,625.0,2024-06-14T18:47:03.529094Z,2024-06-14T18:47:03.529094Z
6911eef2-a758-4670-8ff5-6aa28a80d70a,625.0,2024-06-14T18:47:03.476881Z,2024-06-14T18:47:03.476881Z
4bc1a469-8f70-426b-831f-ac3d9ccfacf9,625.0,2024-06-14T18:47:03.400216Z,2024-06-14T18:47:03.400216Z
c14c5fa7-a25f-4e25-acb0-72db4b86f88f,625.0,2024-06-14T18:47:03.346362Z,2024-06-14T18:47:03.346362Z
bf0a1e60-b97d-4bcb-a67c-994d58a64338,625.0,2024-06-14T18:47:03.269964Z,2024-06-14T18:47:03.269964Z
4705a7c4-8f15-4208-96b3-bcbbe9f5278a,625.0,2024-06-14T18:47:03.216052Z,2024-06-14T18:47:03.216052Z
15c77a58-b65b-4d6b-a68e-7a22169c3bc0,625.0,2024-06-14T18:47:03.159703Z,2024-06-14T18:47:03.159703Z
bbeb8d11-5e2d-43bf-a892-49fd9daa8662,625.0,2024-06-14T18:47:03.101941Z,2024-06-14T18:47:03.101941Z
64a55a45-4699-4ca8-9c2e-ce567f9a287e,625.0,2024-06-14T18:47:03.039351Z,2024-06-14T18:47:03.039351Z
c0cf5508-ae49-4376-ac0e-59acf0f00fdd,623.0,2024-06-14T18:47:02.979218Z,2024-06-14T18:47:02.979218Z
5de130f2-b513-47ac-b96b-9ea3d19c3d16,623.0,2024-06-14T18:47:02.924942Z,2024-06-14T18:47:02.924942Z
e47de11d-6dc0-4aa8-b1a6-1813b8456f78,623.0,2024-06-14T18:47:02.848489Z,2024-06-14T18:47:02.848489Z
e16f917a-79f7-4362-a6aa-51a3e086f0df,623.0,2024-06-14T18:47:02.795961Z,2024-06-14T18:47:02.795961Z
7f6b7f3c-3e1b-4da6-a4a5-6c0519524530,623.0,2024-06-14T18:47:02.718380Z,2024-06-14T18:47:02.718380Z
d1c5db98-14ee-488e-980d-3163cd26e413,623.0,2024-06-14T18:47:02.665677Z,2024-06-14T18:47:02.665677Z
5f70c779-ef97-4c80-97f1-4311e8c4f912,623.0,2024-06-14T18:47:02.608164Z,2024-06-14T18:47:02.608164Z
e7a03bee-13d8-4f2a-97f3-c4d29247c4cc,623.0,2024-06-14T18:47:02.547996Z,2024-06-14T18:47:02.547996Z
5920c99f-805c-4e94-891e-168bc4200393,623.0,2024-06-14T18:47:02.487869Z,2024-06-14T18:47:02.487869Z
7749a380-0336-42b5-9076-806bb92a70c0,627.0,2024-06-14T18:47:02.427655Z,2024-06-14T18:47:02.427655Z
d378b0ce-0e39-476c-b0d7-dc4c5c7eca3a,627.0,2024-06-14T18:47:02.374066Z,2024-06-14T18:47:02.374066Z
86006bc2-b7bf-4fa9-b3ce-ca4e36f3c811,627.0,2024-06-14T18:47:02.294704Z,2024-06-14T18:47:02.294704Z
ce775904-c7f0-4d66-b585-2b53c98ab667,627.0,2024-06-14T18:47:02.168601Z,2024-06-14T18:47:02.168601Z
0a20cb63-e05b-4a19-998f-c9320aad8514,627.0,2024-06-14T18:47:02.115411Z,2024-06-14T18:47:02.115411Z
1c61eb43-dc2e-4fe1-b88a-83706109bb9a,627.0,2024-06-14T18:47:02.058118Z,2024-06-14T18:47:02.058118Z
cce219be-fe03-4d4a-af22-b8f278ba3e81,627.0,2024-06-14T18:47:01.997473Z,2024-06-14T18:47:01.997473Z
74981f93-365d-4cb9-8eb8-b4f722ae59c5,627.0,2024-06-14T18:47:01.937580Z,2024-06-14T18:47:01.937580Z
1168d48a-4312-4dfc-8c1a-23650a2a3f0a,627.0,2024-06-14T18:47:01.877926Z,2024-06-14T18:47:01.877926Z
79f8460f-be34-4eb5-808c-2922ebe12a42,627.0,2024-06-14T18:47:01.824676Z,2024-06-14T18:47:01.824676Z
7c068606-e2a4-46cc-8572-542a980ca132,627.0,2024-06-14T18:47:01.746911Z,2024-06-14T18:47:01.746911Z
b55f890a-90fc-425e-8693-c2f25430f557,627.0,2024-06-14T18:47:01.694407Z,2024-06-14T18:47:01.694407Z
cc356889-b3ac-4e7d-a265-365b031a9e62,627.0,2024-06-14T18:47:01.617727Z,2024-06-14T18:47:01.617727Z
db0ea9c4-cd1d-437f-b603-daae8f280905,627.0,2024-06-14T18:47:01.564431Z,2024-06-14T18:47:01.564431Z
767b6019-0c17-4c00-8a0a-d25c172f11eb,627.0,2024-06-14T18:47:01.456470Z,2024-06-14T18:47:01.456470Z
2b92958b-f96e-4a93-aaf6-a4d3ddd23e94,627.0,2024-06-14T18:47:01.396802Z,2024-06-14T18:47:01.396802Z
af578be3-9a39-4bd9-9fc9-4d82cb9d15dc,632.0,2024-06-14T18:47:01.336264Z,2024-06-14T18:47:01.336264Z
0521f2a5-0661-49ea-89d5-45ed97f54f3b,632.0,2024-06-14T18:47:01.275898Z,2024-06-14T18:47:01.275898Z
e97efe36-a0a4-425e-9cbe-6f582d0967bf,632.0,2024-06-14T18:47:01.197424Z,2024-06-14T18:47:01.197424Z
e576323a-32a9-487d-b685-37a591477d35,632.0,2024-06-14T18:47:01.143452Z,2024-06-14T18:47:01.143452Z
38b148bb-4df9-4338-a358-c5e44a5fb886,632.0,2024-06-14T18:47:01.066319Z,2024-06-14T18:47:01.066319Z
2eb1f221-e27d-42b9-9d2f-ce6da9684f52,632.0,2024-06-14T18:47:01.012992Z,2024-06-14T18:47:01.012992Z
6f2b3343-9964-4638-b894-5d961460a4f4,632.0,2024-06-14T18:47:00.956262Z,2024-06-14T18:47:00.956262Z
f502189f-977f-464b-a819-3ff4281ab19f,632.0,2024-06-14T18:47:00.896156Z,2024-06-14T18:47:00.896156Z
a8651689-f0a7-400b-814a-146453234117,632.0,2024-06-14T18:47:00.835954Z,2024-06-14T18:47:00.835954Z
cea300f4-677c-4335-8f1d-83dc717ee85e,626.0,2024-06-14T18:47:00.775943Z,2024-06-14T18:47:00.775943Z
636f1c8c-4892-44b9-bb7d-1b1d4dc0e7e4,626.0,2024-06-14T18:47:00.721930Z,2024-06-14T18:47:00.721930Z
54535425-0a39-4b02-a5c8-2561fb35d470,626.0,2024-06-14T18:47:00.645624Z,2024-06-14T18:47:00.645624Z
0b7b8ddb-ab32-4b37-957c-47af399caec0,626.0,2024-06-14T18:47:00.592924Z,2024-06-14T18:47:00.592924Z
e68b4253-c529-4356-ac1b-60d1904b901e,626.0,2024-06-14T18:47:00.505375Z,2024-06-14T18:47:00.505375Z
d58928dc-6a77-4c9a-998f-8d489000a59f,626.0,2024-06-14T18:47:00.451707Z,2024-06-14T18:47:00.451707Z
a755fc51-92e1-4ee4-a746-2ed1dd6a1c55,626.0,2024-06-14T18:47:00.345688Z,2024-06-14T18:47:00.345688Z
180ecd73-b9c2-4d9d-9e44-9a7a83fa7081,626.0,2024-06-14T18:47:00.285401Z,2024-06-14T18:47:00.285401Z
5d561f6d-facf-4872-8967-c2115b5e28d7,631.0,2024-06-14T18:47:00.225256Z,2024-06-14T18:47:00.225256Z
0364c9aa-afad-4864-9cb9-6386749b3ed1,631.0,2024-06-14T18:47:00.171479Z,2024-06-14T18:47:00.171479Z
a16956d9-0260-4b2e-bc99-160cbc97aa4d,631.0,2024-06-14T18:47:00.099144Z,2024-06-14T18:47:00.099144Z
e0e10903-970e-4c4c-ae56-ceb70bcee1a2,631.0,2024-06-14T18:47:00.042740Z,2024-06-14T18:47:00.042740Z
f1052c8c-45f8-40f6-aa42-a03e46bf53ac,631.0,2024-06-14T18:46:59.965045Z,2024-06-14T18:46:59.965045Z
